age,months_as_customer,policy_annual_premium,comments
28,105,1082.36,Validating text fields with GPT-4.
26,97,1270.55,Check language consistency.
36,148,1236.32,This is a sample comment.
26,77,785.82,Another example of text data.
46,295,1265.84,
28,126,1508.9,Validating text fields with GPT-4.
32,132,1106.84,Check language consistency.
55,370,1389.13,This is a sample comment.
43,257,974.84,Another example of text data.
24,9,1304.46,
34,185,1257.36,Validating text fields with GPT-4.
43,234,1257.04,Check language consistency.
44,253,719.52,This is a sample comment.
39,233,1524.18,Another example of text data.
44,274,1395.58,
48,297,1243.68,Validating text fields with GPT-4.
47,273,1189.04,Check language consistency.
37,147,1375.29,This is a sample comment.
42,285,1389.13,Another example of text data.
43,289,1387.51,
60,427,1178.61,Validating text fields with GPT-4.
53,380,1166.62,Check language consistency.
21,13,1556.31,This is a sample comment.
43,282,1452.27,Another example of text data.
47,312,1212.07,
46,266,1578.54,Validating text fields with GPT-4.
36,30,1488.26,Check language consistency.
36,198,1096.39,This is a sample comment.
45,290,1215.36,Another example of text data.
46,260,1482.57,
43,233,954.18,Validating text fields with GPT-4.
30,130,1193.4,Check language consistency.
42,230,1023.11,This is a sample comment.
40,212,1524.45,Another example of text data.
44,299,1653.32,
26,91,1022.46,Validating text fields with GPT-4.
53,398,1396.43,Check language consistency.
43,218,1521.55,This is a sample comment.
33,152,1034.27,Another example of text data.
39,212,1255.35,
44,242,1396.89,Validating text fields with GPT-4.
27,80,795.31,Check language consistency.
43,260,982.22,This is a sample comment.
34,133,1074.07,Another example of text data.
45,290,1311.3,
49,322,1277.12,Validating text fields with GPT-4.
39,228,1388.62,Check language consistency.
37,195,1406.52,This is a sample comment.
39,247,1558.29,Another example of text data.
57,405,1132.47,
37,144,1896.91,Validating text fields with GPT-4.
47,338,1143.46,Check language consistency.
34,121,1285.42,This is a sample comment.
55,398,1305.26,Another example of text data.
30,9,1073.83,
31,115,1051.67,Validating text fields with GPT-4.
48,280,1387.35,Check language consistency.
45,254,1083.64,This is a sample comment.
30,141,1851.78,Another example of text data.
55,441,1270.29,
55,381,1459.99,Validating text fields with GPT-4.
38,191,1253.44,Check language consistency.
34,145,1142.48,This is a sample comment.
60,479,1188.45,Another example of text data.
35,215,1125.4,
33,41,1294.41,Validating text fields with GPT-4.
31,45,1459.5,Check language consistency.
38,156,1367.99,This is a sample comment.
45,246,1594.37,Another example of text data.
39,178,1035.99,
43,237,911.53,Validating text fields with GPT-4.
34,127,1319.97,Check language consistency.
33,1,1391.63,This is a sample comment.
21,5,915.41,Another example of text data.
28,64,1468.82,
30,142,1412.76,Validating text fields with GPT-4.
27,97,1588.26,Check language consistency.
31,121,1140.91,This is a sample comment.
43,225,1517.54,Another example of text data.
53,425,912.29,
44,285,1144.3,Validating text fields with GPT-4.
38,192,1281.43,Check language consistency.
48,285,1101.85,This is a sample comment.
26,98,1082.1,Another example of text data.
36,175,1185.44,
45,259,1175.07,Validating text fields with GPT-4.
36,140,979.26,Check language consistency.
37,231,920.81,This is a sample comment.
38,186,922.85,Another example of text data.
41,229,1107.59,
36,180,1272.46,Validating text fields with GPT-4.
33,188,1340.24,Check language consistency.
40,214,1648.0,This is a sample comment.
38,178,1381.14,Another example of text data.
35,55,1198.44,
31,90,951.27,Validating text fields with GPT-4.
30,135,1341.24,Check language consistency.
46,277,1177.57,This is a sample comment.
38,211,1055.09,Another example of text data.
32,156,1479.48,
30,84,1827.38,Validating text fields with GPT-4.
32,136,1169.62,Check language consistency.
48,310,1516.34,This is a sample comment.
34,123,1270.21,Another example of text data.
44,243,809.11,
37,36,1115.81,Validating text fields with GPT-4.
31,146,1457.65,Check language consistency.
34,154,1041.36,This is a sample comment.
40,204,1693.83,Another example of text data.
59,458,1685.69,
31,147,1054.92,Validating text fields with GPT-4.
45,279,1333.97,Check language consistency.
47,308,1013.61,This is a sample comment.
48,284,958.3,Another example of text data.
31,108,1112.04,
57,421,1206.26,Validating text fields with GPT-4.
42,266,763.67,Check language consistency.
56,412,1042.56,This is a sample comment.
32,31,1263.48,Another example of text data.
63,465,1006.99,
31,126,1328.26,Validating text fields with GPT-4.
55,407,1250.08,Check language consistency.
27,101,982.7,This is a sample comment.
37,187,1412.06,Another example of text data.
46,252,1066.7,
43,229,1585.54,Validating text fields with GPT-4.
39,246,1416.08,Check language consistency.
38,190,1246.03,This is a sample comment.
32,95,1356.64,Another example of text data.
42,205,1387.7,
25,41,1004.14,Validating text fields with GPT-4.
35,137,1107.07,Check language consistency.
34,194,1429.96,This is a sample comment.
35,128,1074.99,Another example of text data.
37,150,1007.0,
30,104,1052.85,Validating text fields with GPT-4.
37,163,1200.33,Check language consistency.
26,80,1343.0,This is a sample comment.
29,65,1441.6,Another example of text data.
32,179,1433.42,
50,372,1368.57,Validating text fields with GPT-4.
55,398,862.19,Check language consistency.
35,213,871.46,This is a sample comment.
25,79,1863.04,Another example of text data.
44,232,1181.64,
37,230,1060.74,Validating text fields with GPT-4.
41,234,951.56,Check language consistency.
40,240,1533.71,This is a sample comment.
33,143,1200.09,Another example of text data.
42,266,1093.83,
32,89,988.93,Validating text fields with GPT-4.
37,229,1331.94,Check language consistency.
40,245,1361.45,This is a sample comment.
44,50,1188.51,Another example of text data.
43,230,1101.83,
39,17,840.95,Validating text fields with GPT-4.
36,163,1503.21,Check language consistency.
32,29,1722.5,This is a sample comment.
42,232,944.03,Another example of text data.
39,235,1453.61,
46,295,1672.88,Validating text fields with GPT-4.
21,22,1248.05,Check language consistency.
43,286,1564.43,This is a sample comment.
44,257,1280.88,Another example of text data.
26,94,722.66,
28,124,1235.14,Validating text fields with GPT-4.
30,141,1347.04,Check language consistency.
38,3,1310.8,This is a sample comment.
41,285,1436.79,Another example of text data.
34,130,1383.49,
62,458,1356.92,Validating text fields with GPT-4.
60,456,766.19,Check language consistency.
